Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
OST 01.22.041,MAST 389 p1,Cells,Sample 9,hGAPDH,19.228,1.122606259,0.351,NM_8.22.55,,,,,
 , ,,Sample 9,mGapdh,17.128, , ,,,,,,
OST 01.22.042,MAST 634 T,Tumor,Sample 4,hGAPDH,17.331,0.832420749,-0.207,NM_8.22.54,,,,,
 , ,,Sample 4,mGapdh,20.82, , ,,,,,,
OST 01.22.042,MAST634 S7,Organoids,Sample 5,hGAPDH,17.314,0.937412019,-0.005,NM_8.22.54,,MAST 634 S7 (OS3) - PASSED,OST 01.22.042,2023-01-10,PASSED
 , ,,Sample 5,mGapdh,18.47, , ,,,,,,
OST 01.22.042,MAST 634 p1,Cells,Sample 6,hGAPDH,16.627,0.811191882,-0.248,NM_8.22.54,, MAST 634 p1 (OS) - PASSED,OST 01.23.042,2023-02-09,PASSED
 , ,,Sample 6,mGapdh,20.497, , ,,,,,,
OST 01.22.043,MAST 533 T,Tumor,Sample 4,hGAPDH,18.886,0.833414236,-0.205,NM_8.22.55,,,,,
 , ,,Sample 4,mGapdh,22.661, , ,,,,,,
OST 01.22.043,MAST 533 S7,Organoids,Sample 5,hGAPDH,17.099,0.737693602,-0.389,NM_8.22.55,,MAST 553 S7 (OS) - PASSED,OST 01.22.043,2022-11-28,PASSED
 , ,,Sample 5,mGapdh,23.179, , ,,,,,,
OST 01.22.043,MAST 533 p1,Cells,Sample 6,hGAPDH,17.502,0.742270665,-0.38,NM_8.22.55,,MAST 553 p1 (OS3) - PASSED,OST 01.23.043,2023-02-23,PASSED
 , ,,Sample 6,mGapdh,23.579, , ,,,,,,
OST 01.23.044,MAST 553 T,Tumor,Sample 8,hGAPDH,16.647,0.825171012,-0.221,NM_08.23.12,,,,,
 , ,,Sample 8,mGapdh,20.174, , ,,,,,,
OST 01.23.044,MAST 553 T pretreat,Cells,Sample 9,hGAPDH,16.309,0.706384269,-0.449,NM_08.23.12,,,,,
 , ,,Sample 9,mGapdh,23.088, , ,,,,,,
OST 01.23.044,MAST 553 T mouse,Cells,Sample 10,hGAPDH,16.537,0.753291122,-0.359,NM_08.23.12,,,,,
 , ,,Sample 10,mGapdh,21.953, , ,,,,,,
OST 01.23.044,MAST 553 T human,Cells,Sample 11,hGAPDH,15.369,0.514202549,-0.819,NM_08.23.12,,,,,
 , ,,Sample 11,mGapdh,29.889, , ,,,,,,
OST 01.23.044,MAST 553 S7,Orgnoids,Sample 12,hGAPDH,16.426,0.491266898,-0.863,NM_08.23.12,,MAST 553 S7 (OS3) - PASSED,OST 01.23.044,2023-02-23,PASSED
 , ,,Sample 12,mGapdh,33.436, , ,,,,,,
OST 01.23.044,MAST 553 p1,Cells,Sample 13,hGAPDH,-,,,NM_08.23.12,,,,,
