lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DY2575,45645,MAST 1053_2,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254234,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2576,45645,MAST 1123_1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254235,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2577,45645,MAST 1105A_2,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254236,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2578,45645,MAST 81_1.2,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254237,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2579,45645,MAST 1065B_1,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254238,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2580,45645,MAST 1085_1.1 YFP,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254239,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2581,45645,MAST 705B_1.2 YFP,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254240,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2582,45645,MAST 648B_1.6 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254241,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2583,45645,MAST 576A_1.5 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254242,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2584,45645,MAST 834_1.4 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254243,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2585,45645,MAST 39_1.5 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254244,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2586,45645,MAST 465B_1.4 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254245,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2587,45645,MAST 786C_1.5 YFP,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254246,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2588,45645,MAST 492D_1.4 YFP,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254247,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2589,45645,MAST 907_1.8 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254248,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2590,45645,MAST 95_1.4 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254249,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2591,45645,MAST 1076D_1.3 LUC+,Natalie Geiger,NM_9.24.10 Batch Validation #5,842159,3254250,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
